mot,score
burkina,432.4811673371946
pays,402.6245859859873
bon,356.4219943405439
faso,330.38079604853954
peuple,313.5272474699662
président,278.87175394103633
celer,249.60936991224716
burkinabè,248.68741784795714
état,247.4428093121453
certain,231.44649696756565
politique,228.99370502515137
ministre,222.34220073437834
france,222.01125775325266
africain,217.7752349813578
merci,217.13867379234011
premier,214.801616946662
cedeao,199.78168703762196
dieu,197.17783319726325
national,195.82492448559373
ae,192.53563074812305
etat,191.43132972912676
militaire,183.03544339687312
an,174.18029121076734
pourquoi,172.9873726860704
beaucoup,172.64981739958444
vraiment,172.1732635070782
gouvernement,167.93465628602868
simplement,166.7538462223223
responsable,165.14665579404635
transition,161.90620994683857
deux,158.4740170375652
coup,154.37219289460444
gen,154.15128311752488
droit,153.24825664814261
ib,151.19195226230235
seul,150.6932841337858
guerre,150.4395443017948
quoi,150.03829587746475
contribution,149.91939572309255
afriqu,149.85789031593947
mieux,149.41997835316832
vie,146.39635355100387
question,145.45489953322058
parler,145.37984860824412
forum,144.8511233215896
monsieur,144.15909984104505
2024,144.10443320987906
population,143.57682676428055
penser,143.4929373900279
français,142.81686737425173
courage,141.75901394149895
comprendre,141.71840483621799
quelque,140.6845229106034
homme,139.52038983886183
seulement,138.25882943426237
attendre,137.280211755361
croire,135.99277216724136
surtout,135.1668053338121
jeune,132.0676391433666
trouver,131.11489390256517
public,130.54744667834427
cher,129.40506987708167
vrai,128.99124770033015
histoire,128.0856396127122
modérer,128.0816806764973
priori,127.4542290749687
chef,127.44273712593086
terroriste,126.89324244634514
fait,126.64591704317841
paix,126.24592252157484
bravo,125.91584532877899
mali,125.5543388619903
général,124.72751569882445
continuer,123.20222756188757
justice,121.8946713396209
affaire,121.15483118954461
russie,120.96518176183189
bonjour,120.86847783912997
fois,120.86130738659799
tel,119.8774506955599
terrorisme,118.8055764045587
juste,118.47068247343005
travail,118.09127169267457
niger,118.02238185697381
maintenant,117.80733438796466
hui,117.72099185429713
aujourd,117.49703051800623
fin,117.41686949798849
mal,116.63145661817353
besoin,116.53320076404995
arriver,116.35845839589356
problème,114.9118980627488
place,114.6687339862539
situation,114.3317340838201
force,114.17244683611874
international,114.061061754333
mort,113.16998904956823
compte,111.61946291632051
économique,111.24351751186647
reste,109.94639561944902
tenir,109.68506133678672
enfant,109.07066598642383
mr,108.31438334554373
vivre,107.84619342080933
etc,107.34766360964596
tant,106.41092639086244
russe,106.11711245599216
fort,105.52872178002534
citoyen,105.47347454686972
